tweet_id,username,text
['1892394811568607689'],['3phonehk'],"['ai', '3phoneai', 'ai', 'deepseek', 'chatgppt', '3phone', 'httpstcol6qnba5yz5']"
['1892394650583069084'],['joelmavi'],"['deepseek', 'deepseekaiai', 'httpstco54i4g13k2j']"
['1892394570387742937'],['shahramma'],"['1', 'opinion', 'base', 'sole', 'conclus', '5', '6', 'chatgpt', 'v', 'grok', 'elonmusk', 'deepseek', 'httpstco7hnnp8nm1i']"
['1892394428922212582'],['truemanzhangx'],"['impact', 'symposium', 'privat', 'enterpris', 'china', 'china', 'new', 'energi', '2', 'huawei', 'byd', 'catl', 'xiaomi', 'deepseek', 'httpstcoqqqlr5uwgq']"
['1892394313272717804'],['oderoi'],"['check', 'articl', 'deepseekv3', '671bparamet', 'opensourc', 'llm', 'shake', 'ai', 'smart', 'tech', 'effici', '12', 'nileagi', 'kamusilang', 'deepseekai', 'artificialintellig', 'techinnov', 'llm', 'ai', 'deepseek', 'opensourc', 'httpstcohu2ykmj0yt']"
['1892394308889620521'],['gooxiglob'],"['gooxi', 'deepseek', '671b', 'redefin', 'ai', 'infer', 'fp16', 'precis', 'deliv', '40', 'cost', 'save', 'scalabl', 'deploy', 'learn', 'httpstcolvvtdmpmrd', 'contact', 'u', 'marketingglobalgooxicom', 'ai', 'deepseek', 'gooxi', 'aiinfer', 'techinnov', 'httpstcos2hsmzgybi']"
['1892394173233328571'],['guolicheng333'],"['deepseek', 'aiai', 'httpstcoz3suh4rrqq']"
['1892394133287030932'],['truemanzhangx'],"['impact', 'symposium', 'privat', 'enterpris', 'china', 'china', 'new', 'energy1', 'huawei', 'byd', 'catl', 'xiaomi', 'deepseek', 'httpstcokuvdse5ya3']"
['1892394058217132446'],['aitimesnew'],"['rampd', 'deepseek', 'news', 'ai', 'fyp', 'ai', 'aitim', 'httpstcoe0h3ta4o7m']"
['1892393740289134651'],['investbrother11'],"['deepseek', 'ai', 'httpstco0vuwboyrcx', 'deepseek', 'ai', 'openai', 'opensourc', 'chatgpt', 'nvidia', 'gemini', 'googl', 'follow', 'investbroth', 'httpstcorzcigk3lz']"
